,date,year,co2_pg,ch4_tg,n2o_tg,hist_forcing_wm2,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,historic_nonghg_forcings,total_forcing,t_os,t_eq,t_s
0,0.0,1765.0,0.01101,0.0,0.0,,,,,2.8091117614056477e-05,264.6958114391414,703.155458273176,278.10084753959626,0.01101,0.0,0.0,0.0,264.6972012747848,703.155458273176,278.10084753959626,2.8091117614056477e-05,0.0,0.0,2.8091117614056477e-05,0.0,,2.8091117614056477e-05,2.169878099674377e-06,2.247289409124518e-05,8.057752737229911e-06
1,1.0,1766.0,0.03060154632,1.9632618999999998,0.005191085,,,,,0.0005130098478163941,264.6958114391414,703.155458273176,278.10084753959626,0.04051305641602221,1.9632618999999998,0.005191085,0.00028024360721344164,264.7009255617418,703.8354464624251,278.10150283069174,0.00010336503420226184,0.0004074184767068794,2.2263369072528236e-06,0.0005130098478163941,0.0,,0.0005130098478163941,3.7538818486380796e-06,0.00041040787825311526,0.00012168354080593647
2,2.0,1767.0,0.050193096310000004,2.4364481,0.010116813,,,,,0.0011018539413111398,264.6958114391414,703.155458273176,278.10084753959626,0.08673652689948833,4.212880928524372,0.015262561302539897,0.0006013629399981651,264.7067605323903,704.6146162561784,278.1027741927941,0.00022129718286777135,0.0008740110046995399,6.545753743828486e-06,0.0011018539413111398,0.0,,0.0011018539413111398,4.243267557513938e-05,0.0008814831530489118,0.00028575731404253344
3,3.0,1768.0,0.06978464263,2.911105,0.015042803,,,,,0.001786754294065273,264.6958114391414,703.155458273176,278.10084753959626,0.14873803723643508,6.723077301858929,0.030172067674910118,0.0009596780921830954,264.71458722712345,705.4840386631244,278.1046562784782,0.00037948051643583975,0.0013943337093433017,1.2940068286131368e-05,0.001786754294065273,0.0,,0.001786754294065273,0.0001162431899192641,0.0014294034352522185,0.0004970596610658209
4,4.0,1769.0,0.08937618894999999,3.3872782,0.019969063000000002,,,,,0.0025612925384341434,264.6958114391414,703.155458273176,278.10084753959626,0.22594025497626385,9.470570107070198,0.049877620849137064,0.0013518658560903885,264.72433276699314,706.4356501916681,278.10714378803084,0.0005764386029676724,0.0019634626817909805,2.1391253675490108e-05,0.0025612925384341434,0.0,,0.0025612925384341434,0.0002242538035002158,0.0020490340307473148,0.0007534400694018745
5,5.0,1770.0,0.10896773894,3.8650146,0.024895601,,,,,0.003419941991689015,264.6958114391414,703.155458273176,278.10084753959626,0.31793036663560714,12.43434080300994,0.07433761222100209,0.001774925963752868,264.7359450409283,707.462170937006,278.11023146903415,0.0008111140570748248,0.0025769464974155915,3.18814371985987e-05,0.003419941991689015,0.0,,0.003419941991689015,0.00036595412685826016,0.002735953593351212,0.0010532539721412161
6,6.0,1771.0,0.13222928526,4.3443625,0.029822427000000002,,,,,0.0043671652410388825,264.6958114391414,703.155458273176,278.10084753959626,0.4280434711026874,15.595419327174692,0.1035108065778899,0.002226150554978763,264.7498450515909,708.5570304978833,278.11391411620485,0.0010920094406840577,0.0032307629004184163,4.439289993640794e-05,0.0043671652410388825,0.0,,0.0043671652410388825,0.0005409847455038344,0.003493732192831106,0.0013972815052287434
7,7.0,1772.0,0.15182083157999998,4.8253718,0.034749548,,,,,0.0053880200836376,264.6958114391414,703.155458273176,278.10084753959626,0.551855454550612,18.936690757188853,0.1373563358377473,0.002703096579463006,264.7654743256761,709.7143010125736,278.11818657060405,0.0014078326598438613,0.003921279349525496,5.890807426824241e-05,0.0053880200836376,0.0,,0.0053880200836376,0.0007497419806486285,0.00431041606691008,0.0017823374656644494
8,8.0,1773.0,0.17141238157,5.308093799999999,0.039676975,,,,,0.006479087690505679,264.6958114391414,703.155458273176,278.10084753959626,0.6893206746056127,22.44272017088018,0.1758336998427233,0.0032035607966361132,264.7828271015673,710.9286364980583,278.1230437197375,0.0017584611135692046,0.004645217032539926,7.540954439654912e-05,0.006479087690505679,0.0,,0.006479087690505679,0.0009915968526993438,0.005183270152404543,0.0022071821096138517
9,9.0,1774.0,0.19100392789,5.7925816,0.044604715,,,,,0.007636989701511861,264.6958114391414,703.155458273176,278.10084753959626,0.8402836692560248,26.099594573122772,0.21890275914587765,0.0037255572116895305,264.8018837546828,712.1952181003867,278.12848049664467,0.0021434914670592393,0.005399618191018866,9.38800434337561e-05,0.007636989701511861,0.0,,0.007636989701511861,0.001266030709957868,0.006109591761209489,0.002670663414820838
