,date,year,co2_pg,ch4_tg,n2o_tg,hist_forcing_wm2,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,historic_nonghg_forcings,total_forcing,t_os,t_eq,t_s
0,0,1900.0,4.3570470109,123.73905,0.9325222,0.24220999999999998,,,,0.03605504730863143,277.01467,721.89411,272.95961,4.374710002131666,123.73905,0.9325222,0.017662991231666255,277.56690686562797,764.7519134081463,273.0773259483956,0.0106547650728702,0.02499698269712476,0.00040329953863646847,0.03605504730863143,0.20615495269136855,0.20615495269136855,0.24220999999999998,0.018709336586136514,0.12717642978188842,0.050164793612904574
1,1,1901.0,4.6056414339,124.8415,0.9446669,0.247364,,,,0.06861896140586674,277.01467,721.89411,272.95961,8.466328382790184,236.80522251222249,1.869044853304708,0.0338024945952483,278.0834079614217,803.9130981242112,273.1955468897605,0.020600882566671478,0.047209838519439565,0.0008082403197556897,0.06861896140586674,0.17874503859413327,0.17874503859413327,0.247364,0.031421185044103794,0.12988262407236303,0.05997500236229898
2,2,1902.0,4.657133222100001,125.94396,0.95993065,0.25251799999999996,,,,0.09818618567027688,277.01467,721.89411,272.95961,12.311400789449866,340.2141861153903,2.812652071680368,0.048563490557302746,278.5687865883322,839.7294473910329,273.31466214366435,0.02993086037873927,0.06703917094060557,0.001216154350932046,0.09818618567027688,0.1543318143297231,0.1543318143297231,0.25251799999999996,0.04101908019839453,0.13258881836283762,0.06757430426608303
3,3,1903.0,4.9312723865,127.04642,0.97764708,0.25767199999999996,,,,0.12592741394312304,277.01467,721.89411,272.95961,16.25680425377537,434.88494574385516,3.7657346615912433,0.06207716144141533,279.0668303996283,872.5192643862064,273.4349735110191,0.03948740597142328,0.08481193513285754,0.001628072838842235,0.12592741394312304,0.13174458605687692,0.13174458605687692,0.25767199999999996,0.04868840833055979,0.13529501265331223,0.073804323584158
4,4,1904.0,5.0363161541,128.14887,0.99722904,0.262826,,,,0.15176872784986464,277.01467,721.89411,272.95961,20.160077151693304,521.6490414495782,4.7300753992291,0.07446220449511287,279.55955590367006,902.5705582715358,273.55670603868174,0.048925134638958444,0.10079882986436227,0.002044763346543942,0.15176872784986464,0.11105727215013536,0.11105727215013536,0.262826,0.055092889314222834,0.13800120694378684,0.0791363014267964
5,5,1905.0,5.258431784,129.25133,1.0181293,0.26798,,,,0.1762961589959368,277.01467,721.89411,272.95961,24.16972168077254,601.2589017861696,5.7068942607873625,0.085826024284253,280.06570911746985,930.1439374404854,273.6800137290499,0.0586027550091306,0.11522665437922447,0.0024667496075817495,0.1762961589959368,0.09168384100406318,0.09168384100406318,0.26798,0.060626368371653604,0.14070740123426145,0.08384986790180989
6,6,1906.0,5.5179691561,130.35378,1.0397413,0.273134,,,,0.199789253440797,277.01467,721.89411,272.95961,28.32259652329777,674.3953322633344,6.696794007713562,0.09626580162401373,280.58994285759525,955.4752031917894,273.8049726710739,0.06860765308571093,0.12828731206659433,0.002894288288491742,0.199789253440797,0.07334474655920298,0.07334474655920298,0.273134,0.06553519519261711,0.14341359552473604,0.0881199312889316
7,7,1907.0,5.827089219099999,131.45623999999998,1.0614586000000001,0.27828800000000004,,,,0.22251568314320508,277.01467,721.89411,272.95961,32.66274459455135,741.6743711806586,7.699765697196716,0.10586947220716132,281.1378168346274,978.7777242908903,273.93158173586767,0.07904376437268554,0.14014454710438107,0.00332737166613848,0.22251568314320508,0.05577231685679496,0.05577231685679496,0.27828800000000004,0.06998077583783296,0.14611978981521068,0.0920610898912725
8,8,1908.0,5.7303848659,132.5587,1.0826746,0.283442,,,,0.24361748633424896,277.01467,721.89411,272.95961,36.77480875789167,803.6534230425509,8.7151938645285,0.11471660211145258,281.6568988820586,1000.2445613170376,274.0597632308981,0.08891269051461871,0.15093906564834936,0.0037657301712809062,0.24361748633424896,0.03982451366575107,0.03982451366575107,0.283442,0.0740731787495463,0.14882598410568526,0.09575149230282659
9,9,1909.0,5.8807274802,133.66115,1.1027829,0.288596,,,,0.2639186932160022,277.01467,721.89411,272.95961,40.951176820655725,860.8368383015826,9.741862020203898,0.12287918427380969,282.18409826386124,1020.0503992427205,274.1893635939059,0.0989173461848123,0.16079251195535782,0.004208835075832104,0.2639186932160022,0.02467730678399782,0.02467730678399782,0.288596,0.0778900716772699,0.15153217839615987,0.099246282625748
10,10,1910.0,6.0224027656,134.76361,1.121177,0.29375,,,,0.28348207827101524,277.01467,721.89411,272.95961,45.17453236816034,913.6809921190427,10.777957799012556,0.13042236345227123,282.71722906083977,1038.3533064945423,274.32015404289587,0.10901557209679082,0.1698106051380683,0.004655901036156109,0.28348207827101524,0.010267921728984775,0.010267921728984775,0.29375,0.08148787672921289,0.15423837268663446,0.10258552055686515
11,11,1911.0,5.9266611268,135.96943000000002,1.1389722,0.302692,,,,0.30184455082116984,277.01467,721.89411,272.95961,49.20500896933341,962.7021798175285,11.822799964160192,0.1374198376407689,283.22601198911025,1055.3321052263536,274.45204858266555,0.11863487382924774,0.178103045658262,0.005106631333660148,0.30184455082116984,0.000847449178830173,0.000847449178830173,0.302692,0.0849086120758895,0.15893352001791577,0.10637583537907712
12,12,1912.0,5.970533738099999,137.17525,1.1575596000000001,0.311634,,,,0.31948902316609185,277.01467,721.89411,272.95961,53.21116336144892,1008.2642047236826,12.877104328480861,0.1439235375351382,283.7317246291814,1071.1128010237194,274.585137573087,0.1281790185411723,0.18574867266270717,0.005561331962212396,0.31948902316609185,-0.007855023166091823,-0.007855023166091823,0.311634,0.08847684400098584,0.1636286673491971,0.11027087277196711
13,13,1913.0,6.1141457192,138.38107,1.1767464,0.320576,,,,0.3367167559569729,277.01467,721.89411,272.95961,57.29034997226143,1050.696249700257,13.941387653208059,0.14998045197211599,284.2466564137269,1085.8094084553397,274.71948624696506,0.13787968988375496,0.19281684329837356,0.006020222774844355,0.3367167559569729,-0.016140755956972896,-0.016140755956972896,0.320576,0.09212354453899278,0.1683238146804784,0.1142216228800236
14,14,1914.0,5.7427848417,139.5869,1.1962611,0.329518,,,,0.352337330806661,277.01467,721.89411,272.95961,60.91520008256724,1090.2961817188464,15.015890686405548,0.15563309963685007,284.7042355132126,1099.5250956327397,274.8551249948756,0.1464851732208932,0.19936875317215783,0.0064834044136100315,0.352337330806661,-0.022819330806661042,-0.022819330806661042,0.329518,0.09581328971437884,0.17301896201175967,0.11820293468061929
15,15,1915.0,5.6655611421,140.79272,1.2158443,0.33846,,,,0.3672470870631985,277.01467,721.89411,272.95961,64.43907533709854,1127.3335019609465,16.10059267354734,0.16091995017175098,285.149068159143,1112.3532059964487,274.99205119689304,0.1548376917507656,0.20545853060444813,0.006950864707984746,0.3672470870631985,-0.02878708706319849,-0.02878708706319849,0.33846,0.0995272607898358,0.177714109343041,0.12220144687026531
16,16,1916.0,5.9054574449,141.99854,1.2353216999999999,0.347402,,,,0.3822305330423421,277.01467,721.89411,272.95961,68.17298905404209,1162.0520751797792,17.195298741368525,0.16587581377616845,285.6204147870487,1124.3782036477485,275.13024025339803,0.16367385103354085,0.21113416554795533,0.007422516460845928,0.3822305330423421,-0.034828533042342125,-0.034828533042342125,0.347402,0.10325520556518408,0.1824092566743223,0.12620988038683417
17,17,1917.0,6.1149403843,143.20436,1.2545190000000002,0.356344,,,,0.39716080644651997,277.01467,721.89411,272.95961,72.046226331194,1194.6725593290003,18.29964141854324,0.17053218802100398,286.109348776439,1135.6765148659601,275.2696457770385,0.1728243191309621,0.2164382891153225,0.00789819820023535,0.39716080644651997,-0.04081680644651997,-0.04081680644651997,0.356344,0.106991464824004,0.18710440400560363,0.13022421718666788
18,18,1918.0,6.0566166342,144.41019,1.2732618,0.365286,,,,0.41140809181805027,277.01467,721.89411,272.95961,75.77620675929423,1225.3946239816644,19.41308204308168,0.17491757451442438,286.5801988898097,1146.3172964718983,275.41019977039076,0.18162157650853597,0.22140884042588818,0.008377674883626111,0.41140809181805027,-0.04612209181805027,-0.04612209181805027,0.365286,0.11073292280369261,0.19179955133688495,0.1342422450783184
19,19,1919.0,5.5991514278,145.61601000000002,1.2913758999999998,0.374228,,,,0.4241303090239602,277.01467,721.89411,272.95961,78.99009794061688,1254.3989176387145,20.534912457435546,0.1790577597230967,286.98590102585484,1156.3631172176206,275.5518128399398,0.1891900391151752,0.2260796311816589,0.008860638727126086,0.4241303090239602,-0.0499023090239602,-0.0499023090239602,0.374228,0.11447790777946514,0.19649469866816627,0.13826277713718846
